,*Thu Aug 31 11:39:07 2023_5.7_5,
Wavenumbers [1/cm],Absorbance,
3873.326,0.03079567,
3872.844,0.03083224,
3872.361,0.03092081,
3871.879,0.03105591,
3871.397,0.03121807,
3870.915,0.03138091,
3870.433,0.03151704,
3869.951,0.03159885,
3869.469,0.03160588,
3868.987,0.0315352,
3868.504,0.03140202,
3868.022,0.03122684,
3867.540,0.03102079,
3867.058,0.03078324,
3866.576,0.03051153,
3866.094,0.03020933,
3865.612,0.02990303,
3865.130,0.02964349,
3864.648,0.02949279,
3864.165,0.02950133,
3863.683,0.02966933,
3863.201,0.02994274,
3862.719,0.03023049,
3862.237,0.03044648,
3861.755,0.03053711,
3861.273,0.03048208,
3860.791,0.03029372,
3860.308,0.03000376,
3859.826,0.02965296,
3859.344,0.02928052,
3858.862,0.02892056,
3858.380,0.02860643,
3857.898,0.02836648,
3857.416,0.02822512,
3856.934,0.02819898,
3856.452,0.02829138,
3855.969,0.02848861,
3855.487,0.02875942,
3855.005,0.0290648,
3854.523,0.02935768,
3854.041,0.02958649,
3853.559,0.02969958,
3853.077,0.02966592,
3852.595,0.02951424,
3852.112,0.02933683,
3851.630,0.0292331,
3851.148,0.02924424,
3850.666,0.02935618,
3850.184,0.02953477,
3849.702,0.02974116,
3849.220,0.02994173,
3848.738,0.03010684,
3848.256,0.03021497,
3847.773,0.03025724,
3847.291,0.03023461,
3846.809,0.03015938,
3846.327,0.03004947,
3845.845,0.02992648,
3845.363,0.0298099,
3844.881,0.02971289,
3844.399,0.02964009,
3843.917,0.02958447,
3843.434,0.02952996,
3842.952,0.029455,
3842.470,0.02934351,
3841.988,0.02919129,
3841.506,0.02900915,
3841.024,0.02882154,
3840.542,0.02866683,
3840.060,0.02859691,
3839.577,0.02866821,
3839.095,0.02892961,
3838.613,0.02939506,
3838.131,0.03002376,
3837.649,0.03071906,
3837.167,0.03136208,
3836.685,0.03185816,
3836.203,0.03215566,
3835.721,0.03225032,
3835.238,0.0321736,
3834.756,0.03197627,
3834.274,0.0317153,
3833.792,0.03143841,
3833.310,0.03118603,
3832.828,0.03098312,
3832.346,0.03083872,
3831.864,0.03074652,
3831.381,0.03068512,
3830.899,0.03062551,
3830.417,0.0305375,
3829.935,0.03040257,
3829.453,0.03021688,
3828.971,0.02998972,
3828.489,0.02973978,
3828.007,0.02949203,
3827.525,0.02927989,
3827.042,0.02913524,
3826.560,0.02907991,
3826.078,0.02911234,
3825.596,0.02920231,
3825.114,0.02929918,
3824.632,0.02934802,
3824.150,0.02930676,
3823.668,0.02914637,
3823.185,0.02885153,
3822.703,0.02842003,
3822.221,0.0278804,
3821.739,0.02732016,
3821.257,0.0268942,
3820.775,0.02679254,
3820.293,0.02710387,
3819.811,0.02773054,
3819.329,0.02845825,
3818.846,0.02910717,
3818.364,0.02959381,
3817.882,0.02989654,
3817.400,0.03002994,
3816.918,0.03002704,
3816.436,0.02994087,
3815.954,0.02983913,
3815.472,0.02978127,
3814.990,0.02979308,
3814.507,0.02985343,
3814.025,0.02991963,
3813.543,0.02995462,
3813.061,0.02994327,
3812.579,0.02989021,
3812.097,0.02981647,
3811.615,0.02975098,
3811.133,0.02972378,
3810.650,0.02975832,
3810.168,0.02986347,
3809.686,0.0300315,
3809.204,0.03024072,
3808.722,0.03046237,
3808.240,0.03066301,
3807.758,0.03080747,
3807.276,0.03086666,
3806.794,0.03082726,
3806.311,0.03070533,
3805.829,0.03054252,
3805.347,0.03038898,
3804.865,0.03027694,
3804.383,0.03021302,
3803.901,0.0301853,
3803.419,0.03017129,
3802.937,0.03014582,
3802.454,0.03008467,
3801.972,0.02997418,
3801.490,0.02982207,
3801.008,0.02966197,
3800.526,0.02953639,
3800.044,0.02946708,
3799.562,0.02944201,
3799.080,0.02942865,
3798.598,0.02939101,
3798.115,0.02929882,
3797.633,0.02913911,
3797.151,0.02892269,
3796.669,0.02869282,
3796.187,0.02851344,
3795.705,0.02844771,
3795.223,0.02852999,
3794.741,0.02875192,
3794.258,0.02907493,
3793.776,0.0294496,
3793.294,0.02983426,
3792.812,0.03019699,
3792.330,0.03051561,
3791.848,0.03077846,
3791.366,0.03098223,
3790.884,0.03113163,
3790.402,0.03123846,
3789.919,0.03131951,
3789.437,0.03139197,
3788.955,0.03146794,
3788.473,0.03155226,
3787.991,0.0316392,
3787.509,0.03171623,
3787.027,0.03176482,
3786.545,0.03176769,
3786.063,0.03171406,
3785.580,0.03160381,
3785.098,0.03145039,
3784.616,0.03127695,
3784.134,0.03111183,
3783.652,0.03097663,
3783.170,0.03088087,
3782.688,0.030823,
3782.206,0.03079692,
3781.723,0.03079798,
3781.241,0.03082649,
3780.759,0.03088687,
3780.277,0.03098254,
3779.795,0.03110817,
3779.313,0.03124405,
3778.831,0.03135776,
3778.349,0.03141648,
3777.867,0.03140682,
3777.384,0.03133744,
3776.902,0.03122994,
3776.420,0.03110427,
3775.938,0.03097221,
3775.456,0.03083435,
3774.974,0.03068354,
3774.492,0.03051135,
3774.010,0.03031428,
3773.527,0.03009841,
3773.045,0.02988013,
3772.563,0.02968474,
3772.081,0.0295379,
3771.599,0.02946508,
3771.117,0.02948329,
3770.635,0.02959588,
3770.153,0.0297852,
3769.671,0.03001209,
3769.188,0.03022926,
3768.706,0.03039881,
3768.224,0.03051258,
3767.742,0.03058768,
3767.260,0.0306545,
3766.778,0.03073996,
3766.296,0.03086025,
3765.814,0.03101569,
3765.331,0.03118748,
3764.849,0.03134045,
3764.367,0.0314325,
3763.885,0.03143615,
3763.403,0.03134399,
3762.921,0.03116697,
3762.439,0.03092336,
3761.957,0.03063422,
3761.475,0.03032312,
3760.992,0.03001439,
3760.510,0.02973773,
3760.028,0.02952474,
3759.546,0.0294005,
3759.064,0.02937584,
3758.582,0.02944522,
3758.100,0.02959372,
3757.618,0.02980142,
3757.135,0.03004788,
3756.653,0.03031116,
3756.171,0.03056266,
3755.689,0.03076986,
3755.207,0.03090171,
3754.725,0.0309289,
3754.243,0.03083139,
3753.761,0.0305992,
3753.279,0.03024067,
3752.796,0.02978676,
3752.314,0.02929346,
3751.832,0.02885037,
3751.350,0.02855632,
3750.868,0.0284838,
3750.386,0.02863214,
3749.904,0.02892374,
3749.422,0.02925076,
3748.940,0.02953787,
3748.457,0.02977097,
3747.975,0.0299711,
3747.493,0.03016748,
3747.011,0.0303803,
3746.529,0.03062328,
3746.047,0.03090766,
3745.565,0.03124219,
3745.083,0.03162449,
3744.600,0.03202039,
3744.118,0.03235883,
3743.636,0.03255745,
3743.154,0.03258343,
3742.672,0.03246951,
3742.190,0.03227556,
3741.708,0.03205631,
3741.226,0.03185068,
3740.744,0.031695,
3740.261,0.03162258,
3739.779,0.0316588,
3739.297,0.03181782,
3738.815,0.03209127,
3738.333,0.03244995,
3737.851,0.03283858,
3737.369,0.03318658,
3736.887,0.03341562,
3736.404,0.03344996,
3735.922,0.03325076,
3735.440,0.03285434,
3734.958,0.03239081,
3734.476,0.03201508,
3733.994,0.03181129,
3733.512,0.03175379,
3733.030,0.03174973,
3732.548,0.03170279,
3732.065,0.03155495,
3731.583,0.03130804,
3731.101,0.03100645,
3730.619,0.03070816,
3730.137,0.03045217,
3729.655,0.0302499,
3729.173,0.03008638,
3728.691,0.0299341,
3728.208,0.02976679,
3727.726,0.02957397,
3727.244,0.02936993,
3726.762,0.0292037,
3726.280,0.0291501,
3725.798,0.02928047,
3725.316,0.02963082,
3724.834,0.03017614,
3724.352,0.03084247,
3723.869,0.03152455,
3723.387,0.03211777,
3722.905,0.03254028,
3722.423,0.03274321,
3721.941,0.03272848,
3721.459,0.03254493,
3720.977,0.03227403,
3720.495,0.03199473,
3720.013,0.03175928,
3719.530,0.03158643,
3719.048,0.03146277,
3718.566,0.03135712,
3718.084,0.03123336,
3717.602,0.03106648,
3717.120,0.03084787,
3716.638,0.03058516,
3716.156,0.03029499,
3715.673,0.02999497,
3715.191,0.02969839,
3714.709,0.02940793,
3714.227,0.02912018,
3713.745,0.02882727,
3713.263,0.0285214,
3712.781,0.02820406,
3712.299,0.02789502,
3711.817,0.02763751,
3711.334,0.02749317,
3710.852,0.02751481,
3710.370,0.02771109,
3709.888,0.02803571,
3709.406,0.0284145,
