Spectra,Wavelength
-0.00035703814,2499.9235558043542
-0.00038640288,2500.224896633387
-0.0004435045,2500.526310118435
-0.0005313105,2500.827796285779
-0.00065499655,2501.129355161712
-0.0008172768,2501.4309867725387
-0.0010124224,2501.732691144578
-0.0012250583,2502.0344683041603
-0.0014309522,2502.33631827763
-0.0016010309,2502.6382410913434
-0.0017102213,2502.940236771669
-0.0017428278,2503.2423053449893
-0.0016955674,2503.544446837698
-0.0015778888,2503.8466612762036
-0.0014080984,2504.148948686925
-0.0012091985,2504.451309096296
-0.0010028027,2504.7537425307614
-0.00080943876,2505.05624901678
-0.0006470232,2505.358828580823
-0.00053121126,2505.661481249374
-0.00047494858,2505.96420704893
-0.00048603624,2506.2670060060004
-0.000563377,2506.5698781471074
-0.00069555576,2506.872823498787
-0.00086119387,2507.1758420875863
-0.0010344047,2507.4789339400663
-0.0011887782,2507.7820990828013
-0.0013039194,2508.085337542377
-0.0013707104,2508.388649345394
-0.0013903296,2508.692034518463
-0.0013731546,2508.9954930882104
-0.0013339799,2509.299025081274
-0.0012875339,2509.602630524304
-0.0012433295,2509.9063094439653
-0.0012044735,2510.2100618669338
-0.0011681255,2510.5138878198995
-0.0011291637,2510.817787329565
-0.0010837202,2511.121760422646
-0.001031661,2511.4258071258705
-0.0009779427,2511.72992746598
-0.0009308965,2512.0341214697287
-0.00090087415,2512.3383891638846
-0.0008970716,2512.6427305752272
-0.0009265652,2512.9471457305503
-0.0009946044,2513.25163465666
-0.001103716,2513.5561973803756
-0.0012545297,2513.860833928529
-0.0014438318,2514.1655443279656
-0.0016647397,2514.4703286055437
-0.0019039765,2514.7751867881348
-0.002142686,2515.0801189026233
-0.0023599763,2515.385124975906
-0.002535555,2515.6902050348936
-0.0026554773,2515.9953591065096
-0.0027159364,2516.3005872176905
-0.0027237402,2516.6058893953864
-0.0026943353,2516.911265666559
-0.0026437864,2517.216716058185
-0.0025862157,2517.5222405972527
-0.002528868,2517.8278393107644
-0.0024723036,2518.133512225735
-0.0024134251,2518.4392593691928
-0.002349859,2518.745080768179
-0.0022824274,2519.0509764497483
-0.0022169962,2519.3569464409684
-0.0021615778,2519.66299076892
-0.002124024,2519.969109460697
-0.0021089884,2520.275302543406
-0.0021161765,2520.581570044168
-0.0021410703,2520.887911990116
-0.0021758536,2521.1943284083973
-0.0022112273,2521.500819326171
-0.0022379616,2521.8073847706105
-0.0022454772,2522.1140247689023
-0.002222963,2522.4207393482457
-0.002161479,2522.7275285358533
-0.002055799,2523.0343923589508
-0.0019108711,2523.3413308447784
-0.001743389,2523.6483440205875
-0.0015826428,2523.955431913645
-0.0014601455,2524.2625945512286
-0.0014007003,2524.5698319606317
-0.0014096176,2524.8771441691597
-0.0014679057,2525.184531204131
-0.0015351669,2525.491993092878
-0.001562207,2525.7995298627466
-0.0015109315,2526.1071415410947
-0.0013641705,2526.4148281552957
-0.0011364672,2526.7225897327344
-0.00086836965,2527.0304263008097
-0.00061946275,2527.3383378869335
-0.00044734412,2527.646324518532
-0.00038934918,2527.9543862230435
-0.00045528804,2528.262523027921
-0.0006244257,2528.5707349606296
-0.0008571595,2528.8790220486485
-0.0011039804,2529.1873843194703
-0.0013220881,2529.4958218006013
-0.0014826003,2529.80433451956
-0.0015706588,2530.11292250388
-0.0015858782,2530.4215857811064
-0.0015377421,2530.7303243787997
-0.0014443602,2531.039138324533
-0.0013279018,2531.3480276458927
-0.001212734,2531.6569923704783
-0.0011229836,2531.9660325259038
-0.0010743997,2532.2751481397963
-0.0010702681,2532.584339239796
-0.0010976347,2532.893605853557
-0.0011322371,2533.2029480087463
-0.0011478354,2533.5123657330455
-0.0011285688,2533.8218590541487
-0.0010761844,2534.131427999764
-0.0010100423,2534.4410725976136
-0.00096174324,2534.7507928754317
-0.0009619416,2535.060588860968
-0.0010345699,2535.370460581984
-0.0011854738,2535.6804080662555
-0.0013978599,2535.9904313415727
-0.0016322593,2536.300530435738
-0.0018390161,2536.610705376568
-0.0019798449,2536.9209561918933
-0.002039013,2537.2312829095576
-0.002027767,2537.541685557418
-0.001971401,2537.8521641633465
-0.0018974777,2538.162718755227
-0.0018243996,2538.4733493609583
-0.0017590643,2538.7840560084524
-0.0017022344,2539.094838725635
-0.001653451,2539.405697540445
-0.0016158532,2539.716632480837
-0.0015977958,2540.0276435747755
-0.0016109014,2540.3387308502433
-0.0016648057,2540.649894335233
-0.0017640472,2540.9611340577535
-0.0019052301,2541.2724500458257
-0.0020775965,2541.5838423274854
-0.0022637055,2541.8953109307813
-0.0024439362,2542.206855883777
-0.002598007,2542.518477214548
-0.0027070458,2542.8301749511857
-0.002761736,2543.141949121794
-0.002762197,2543.453799754491
-0.002720579,2543.765726877408
-0.0026539953,2544.0777305186907
-0.0025788047,2544.3898107064983
-0.0025032058,2544.7019674690046
-0.002424727,2545.014200834396
-0.0023314366,2545.3265108308738
-0.0022076338,2545.6388974866522
-0.002040398,2545.9513608299603
-0.0018250594,2546.26390088904
-0.001571022,2546.5765176921477
-0.0013025979,2546.8892112675535
-0.0010622032,2547.201981643542
-0.00090381695,2547.51482884841
-0.00087845523,2547.8277529104703
-0.0010169512,2548.1407538580484
-0.0013087424,2548.453831719484
-0.0017023004,2548.76698652313
-0.002118979,2549.0802182973553
-0.0024863712,2549.39352707054
-0.0027577193,2549.7069128710805
-0.0029128967,2550.0203757273857
-0.0029558784,2550.3339156678794
-0.0029031218,2550.6475327209982
-0.0027764859,2550.9612269151944
-0.0025951087,2551.274998278933
-0.0023727953,2551.5888468406924
-0.0021178252,2551.9027726289673
-0.0018361456,2552.2167756722647
-0.0015367516,2552.530855999106
-0.0012371511,2552.845013638026
-0.0009621069,2553.159248617575
-0.0007407421,2553.4735609663167
-0.000595805,2553.7879507128278
-0.00053531484,2554.102417885701
