Spectra,Wavelength
-0.0008677083,2499.9235558043542
-0.00074990443,2500.224896633387
-0.00064675853,2500.526310118435
-0.0005417018,2500.827796285779
-0.00042397497,2501.129355161712
-0.00029442864,2501.4309867725387
-0.00016885137,2501.732691144578
-7.288877e-05,2502.0344683041603
-3.38948e-05,2502.33631827763
-7.050351e-05,2502.6382410913434
-0.00018302699,2502.940236771669
-0.00035005255,2503.2423053449893
-0.00053137675,2503.544446837698
-0.00068285246,2503.8466612762036
-0.00076664105,2504.148948686925
-0.00076445803,2504.451309096296
-0.00068192615,2504.7537425307614
-0.00054607,2505.05624901678
-0.00039726106,2505.358828580823
-0.00027555463,2505.661481249374
-0.00021339704,2505.96420704893
-0.00022727317,2506.2670060060004
-0.00031528846,2506.5698781471074
-0.00046094798,2506.872823498787
-0.0006401084,2507.1758420875863
-0.0008314974,2507.4789339400663
-0.0010190337,2507.7820990828013
-0.0011954859,2508.085337542377
-0.0013597774,2508.388649345394
-0.0015130778,2508.692034518463
-0.0016554645,2508.9954930882104
-0.0017831867,2509.299025081274
-0.0018877456,2509.602630524304
-0.0019577455,2509.9063094439653
-0.001981692,2510.2100618669338
-0.0019510494,2510.5138878198995
-0.001863761,2510.817787329565
-0.001727548,2511.121760422646
-0.0015604572,2511.4258071258705
-0.0013880176,2511.72992746598
-0.0012385718,2512.0341214697287
-0.0011380204,2512.3383891638846
-0.0011014024,2512.6427305752272
-0.0011302212,2512.9471457305503
-0.0012123706,2513.25163465666
-0.0013265805,2513.5561973803756
-0.0014478278,2513.860833928529
-0.0015535239,2514.1655443279656
-0.0016306419,2514.4703286055437
-0.0016772163,2514.7751867881348
-0.0017005181,2515.0801189026233
-0.0017121355,2515.385124975906
-0.0017210464,2515.6902050348936
-0.001726921,2515.9953591065096
-0.0017184392,2516.3005872176905
-0.00167583,2516.6058893953864
-0.0015799027,2516.911265666559
-0.0014225969,2517.216716058185
-0.0012133948,2517.5222405972527
-0.0009817776,2517.8278393107644
-0.0007688571,2518.133512225735
