Spectra,Wavelength
0.0014633092,2499.9235558043542
0.0015683788,2500.224896633387
0.0016791284,2500.526310118435
0.0017907381,2500.827796285779
0.001896719,2501.129355161712
0.0019876137,2501.4309867725387
0.0020507285,2501.732691144578
0.0020745655,2502.0344683041603
0.0020517271,2502.33631827763
0.0019845846,2502.6382410913434
0.0018859367,2502.940236771669
0.0017777627,2503.2423053449893
0.0016853486,2503.544446837698
0.001627741,2503.8466612762036
0.001611478,2504.148948686925
0.0016272089,2504.451309096296
0.0016542156,2504.7537425307614
0.0016649256,2505.05624901678
0.0016349915,2505.358828580823
0.0015520847,2505.661481249374
0.0014184627,2505.96420704893
0.0012522159,2506.2670060060004
0.0010795555,2506.5698781471074
0.0009289115,2506.872823498787
0.00082163943,2507.1758420875863
0.00076670223,2507.4789339400663
0.00076225447,2507.7820990828013
0.0007983027,2508.085337542377
0.0008630046,2508.388649345394
0.00094428565,2508.692034518463
0.001032922,2508.9954930882104
0.001121377,2509.299025081274
0.0012016433,2509.602630524304
0.0012647769,2509.9063094439653
0.0013019304,2510.2100618669338
0.0013061512,2510.5138878198995
0.001277571,2510.817787329565
0.0012256994,2511.121760422646
0.0011707775,2511.4258071258705
0.0011376882,2511.72992746598
0.0011493821,2512.0341214697287
0.0012185555,2512.3383891638846
0.0013403833,2512.6427305752272
0.0014934642,2512.9471457305503
0.0016435059,2513.25163465666
0.0017568696,2513.5561973803756
0.0018089709,2513.860833928529
0.0017932334,2514.1655443279656
0.0017229039,2514.4703286055437
0.0016279739,2514.7751867881348
0.0015458,2515.0801189026233
0.0015066972,2515.385124975906
0.0015266138,2515.6902050348936
0.0016002705,2515.9953591065096
0.00170534,2516.3005872176905
0.0018086382,2516.6058893953864
0.0018786156,2516.911265666559
0.0018962531,2517.216716058185
0.0018578841,2517.5222405972527
0.0017757997,2517.8278393107644
0.0016719438,2518.133512225735
0.0015739655,2518.4392593691928
0.0015065642,2518.745080768179
0.0014858836,2519.0509764497483
0.0015181018,2519.3569464409684
0.0015978428,2519.66299076892
0.0017095979,2519.969109460697
0.001830665,2520.275302543406
